Numero do medidor;Posicao do medidor lida;Nota de Leitura Atual;Foto do medidor
3230064384;46829;NA;NA
J95125;49540;NA;NA
3203782160;18296;T181;NA
3200826417;647;NA;NA
3172458512;22553;NA;NA
3223432653;24952;T181;PSP_EXTRATLEITIMPL_210526_0335_20000000017852977951_000.jpg
3244037436/90671022;2181;NA;NA
60556130;387;P111;PSP_EXTRATLEITIMPL_210526_0335_20000000014052979447_000.jpg
3192002124;4207;NA;NA
5255956371/5256932522/5256973849/5255956371/5256973849/5255956371/3242350480/3212322538;27528;NA;NA
3151705315;14982;NA;NA
3190499404;44549;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000010602950950_000.jpg
3132360463;235400;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000019852980450_000.jpg
3225111897;31846;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000001852982599_000.jpg
5257376011/50699714;4598;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000019952983540_000.jpg
3130785424;76913;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000000702960516_000.jpg
3193439798;132696;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000003152988640_000.jpg
3161350469;11499;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000019752977493_000.jpg
3193452751;51190;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000003752970595_000.jpg
3172785459;0;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000015702966561_000.jpg
3244406369;3558;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000011602962587_000.jpg
3153014824;67782;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000001852981678_000.jpg
62209895;7705;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000005202983928_000.jpg
3192181444;940222;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000003402970861_000.jpg
3212301549;8290;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000008702989007_000.jpg
51422678;100;P111;PSP_EXTRATLEITIMPL_210526_0335_20000000012102978550_000.jpg
3154750842;81;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000013902978322_000.jpg
3011167746;10864;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000019902998049_000.jpg
3200276719;33010;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000001302979796_000.jpg
NU00622;8706;T111;PSP_EXTRATLEITIMPL_210526_0335_20000000017202990021_000.jpg
3200144340;22498;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000000802967520_000.jpg
5260164513/91163764;10288;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000010752982362_000.jpg
3010208939;64091;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000010302975577_000.jpg
41066423;17712;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000002252990197_000.jpg
3232805250;2760;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000000852960865_000.jpg
3212898723;4996;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000008302979436_000.jpg
3170230735;72194;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000015752947981_000.jpg
NF50579;19697;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000014602965981_000.jpg
3202126137;3;P111;PSP_EXTRATLEITIMPL_210526_0335_20000000001552983612_000.jpg
108893;6983;M141;PSP_EXTRATLEITIMPL_210526_0335_20000000006902967882_000.jpg
14332B;53800;L101;PSP_EXTRATLEITIMPL_210526_0335_20000000008952966255_000.jpg
MV55841;9206;L101;PSP_EXTRATLEITIMPL_210526_0335_20000000004202995250_000.jpg
L67172;23893;M141;PSP_EXTRATLEITIMPL_210526_0335_20000000017052993249_000.jpg
3211151705;19844;T181;PSP_EXTRATLEITIMPL_210526_0335_20000000017602960976_000.jpg
3011031726;12282;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000016252976139_000.jpg
3170141430;88654;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000015202987003_000.jpg
51085051;57260;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000003702984355_000.jpg
3171646480;40595;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000009652975382_000.jpg
70440369;60493;T111;PSP_EXTRATLEITIMPL_210526_0335_20000000009802969423_000.jpg
3171266423;127853;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000000302969294_000.jpg
3225042631;242508;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000008852954970_000.jpg
3242524330;5333;T181;PSP_EXTRATLEITIMPL_210526_0335_20000000009402968121_000.jpg
3194032853;92010;T181;PSP_EXTRATLEITIMPL_210526_0335_20000000019102978591_000.jpg
3203579160;56687;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000010752975714_000.jpg
81354138;32;P111;PSP_EXTRATLEITIMPL_210526_0335_20000000000052984366_000.jpg
MD88047;24662;NA;NA
3224708156;9295;T181;PSP_EXTRATLEITIMPL_210526_0335_20000000001802989773_000.jpg
MB01300;16893;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000008152966774_000.jpg
3244041816/3011038273;1276;T111;PSP_EXTRATLEITIMPL_210526_0335_20000000007402960861_000.jpg
3211159463;24780;T181;PSP_EXTRATLEITIMPL_210526_0335_20000000019752983196_000.jpg
3242025473;11955;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000014452970282_000.jpg
3171253313;174439;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000014352943884_000.jpg
3220247006;78419;T181;PSP_EXTRATLEITIMPL_210526_0335_20000000006452982535_000.jpg
3182570760;21274;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000000152974365_000.jpg
3190386928;3295;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000011752968612_000.jpg
3205248519;64775;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000000052972900_000.jpg
3190442160;5437;R111;PSP_EXTRATLEITIMPL_210526_0335_20000000013902964841_000.jpg
61678522;62115;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000014852952904_000.jpg
3230372054;1356;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000017702971978_000.jpg
3201509393;88;P111;PSP_EXTRATLEITIMPL_210526_0335_20000000012052983155_000.jpg
80877382;15777;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000016552966793_000.jpg
60037558;11247;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000005402974921_000.jpg
60036381;445;P111;PSP_EXTRATLEITIMPL_210526_0335_20000000008602970869_000.jpg
640180633;11974;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000019852977631_000.jpg
61487247;19825;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000005702980613_000.jpg
670016617;10;P111;PSP_EXTRATLEITIMPL_210526_0335_20000000008052964732_000.jpg
3241169609;25066;T181;PSP_EXTRATLEITIMPL_210526_0335_20000000007602973587_000.jpg
3220281638;9282;T181;PSP_EXTRATLEITIMPL_210526_0335_20000000019152977739_000.jpg
3191049143;84016;NA;NA
3202559831;9116;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000004002982086_000.jpg
3212598355;17052;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000015252969931_000.jpg
3182554897;3469;P111;PSP_EXTRATLEITIMPL_210526_0335_20000000000802956903_000.jpg
3200991604;3796;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000012952957657_000.jpg
3210430210;15446;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000005202999133_000.jpg
3222832372;1380;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000009352971806_000.jpg
3233455066;96775;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000015252971930_000.jpg
3171823683;66113;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000013852971755_000.jpg
MB66709;2449;B111;PSP_EXTRATLEITIMPL_210526_0335_20000000001252977765_000.jpg
3192208237;42143;T181;PSP_EXTRATLEITIMPL_210526_0335_20000000017102976762_000.jpg
51390156;341;P111;PSP_EXTRATLEITIMPL_210526_0335_20000000008902962742_000.jpg
3193202585;39317;T181;PSP_EXTRATLEITIMPL_210526_0335_20000000002702984386_000.jpg
3180029540;3977;T111;PSP_EXTRATLEITIMPL_210526_0335_20000000009202973705_000.jpg
3202025071;3109;L101;PSP_EXTRATLEITIMPL_210526_0335_20000000004302986384_000.jpg
91613298;98822;L101;PSP_EXTRATLEITIMPL_210526_0335_20000000011302979003_000.jpg
3222731509;1478;P111;PSP_EXTRATLEITIMPL_210526_0335_20000000011202957965_000.jpg
3201689901;25615;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000005902977663_000.jpg
3180154840;135871;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000012352962724_000.jpg
3181068301;14958;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000004302981626_000.jpg
6251149753/640334657;251;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000014002963571_000.jpg
3221847120;20214;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000005302998023_000.jpg
NU03818;97;P111;PSP_EXTRATLEITIMPL_210526_0335_20000000019352981824_000.jpg
3010194270;9;P111;PSP_EXTRATLEITIMPL_210526_0335_20000000008552971688_000.jpg
3191273930;34321;T111;PSP_EXTRATLEITIMPL_210526_0335_20000000010452957839_000.jpg
3214195258;54339;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000002552954946_000.jpg
M15142;46109;L101;PSP_EXTRATLEITIMPL_210526_0335_20000000018052971545_000.jpg
3201614170;20754;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000010052985351_000.jpg
3191105272;48340;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000009702962697_000.jpg
3224187865;4954;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000006152990004_000.jpg
3183135340;999;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000012102954971_000.jpg
3190215678;1591;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000006152971851_000.jpg
3241142158/J06968;2610;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000009502964852_000.jpg
3212621098;69620;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000006852984858_000.jpg
5257721185/3231026460;3629;NA;NA
3010127861;16534;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000019502978546_000.jpg
30390997;22839;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000019903001003_000.jpg
61199098;24595;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000019902999025_000.jpg
6251439310/3243794160;3211;T181;PSP_EXTRATLEITIMPL_210526_0335_20000000000152962794_000.jpg
3223333892;109180;T181;PSP_EXTRATLEITIMPL_210526_0335_20000000004452989958_000.jpg
3220273449;56002;T181;PSP_EXTRATLEITIMPL_210526_0335_20000000012452955799_000.jpg
3231021077;8150;T181;PSP_EXTRATLEITIMPL_210526_0335_20000000012552966675_000.jpg
83250860;10905;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000004152966992_000.jpg
W48893;11634;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000017052997068_000.jpg
3223548759;30;P111;PSP_EXTRATLEITIMPL_210526_0335_20000000014852956794_000.jpg
MG41721;59765;T111;PSP_EXTRATLEITIMPL_210526_0335_20000000005253007280_000.jpg
71489264;733928;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000001152978200_000.jpg
3223338037;63513;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000009052964651_000.jpg
108621B;46291;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000005302989593_000.jpg
3211133600;184337;T181;PSP_EXTRATLEITIMPL_210526_0335_20000000014302964810_000.jpg
3193260151;638;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000008802962824_000.jpg
132704B;81819;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000000452948928_000.jpg
3192564645;15407;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000007302978342_000.jpg
3212586128;109436;T181;PSP_EXTRATLEITIMPL_210526_0335_20000000008102987353_000.jpg
3211145292;141345;T181;PSP_EXTRATLEITIMPL_210526_0335_20000000009952964399_000.jpg
3231419658;1330;P111;PSP_EXTRATLEITIMPL_210526_0335_20000000017402995355_000.jpg
3190370916;87259;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000018702983414_000.jpg
3180401490;22159;NA;NA
3212585644;70801;T181;NA
71676480;5573;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000008752971539_000.jpg
3213529381;3839;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000012452971076_000.jpg
3210536972;4158;NA;NA
30077784;20708;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000007252989208_000.jpg
3205357733;5230;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000004703005344_000.jpg
3131415418;3721;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000010202980180_000.jpg
MG38950;21345;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000012402975085_000.jpg
H78050;21313;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000002102987098_000.jpg
3203801210;12705;T181;PSP_EXTRATLEITIMPL_210526_0335_20000000019352980906_001.jpg
3242373676;8937;T181;PSP_EXTRATLEITIMPL_210526_0335_20000000016202974079_000.jpg
3130208257;18877;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000016552960874_000.jpg
91329247;17273;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000019002960926_000.jpg
30579992;446;P111;PSP_EXTRATLEITIMPL_210526_0335_20000000019252978721_000.jpg
6250630555/3222732408;6966;T181;NA
B40608;54257;B111;NA
3222758954;17212;T181;NA
91259354;49111;NA;NA
3010207040;93932;NA;NA
6251159945/3160047347;2284;NA;NA
MB59130;19495;NA;NA
3244953602/MC86846;31;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000003202978921_000.jpg
121744B;11058;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000009452975147_000.jpg
60878242;17536;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000018052963773_000.jpg
50955656;48670;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000015902973779_000.jpg
640181117;20408;L131;PSP_EXTRATLEITIMPL_210526_0335_20000000008302979437_000.jpg
102310B;60424;L131;PSP_EXTRATLEITIMPL_210526_0335_20000000006402981001_000.jpg
3241630381;11114;T181;PSP_EXTRATLEITIMPL_210526_0335_20000000017802980894_000.jpg
3180150870;36302;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000010702962920_000.jpg
3212567069;38962;T181;PSP_EXTRATLEITIMPL_210526_0335_20000000011552968781_000.jpg
3193061434;8056;T111;PSP_EXTRATLEITIMPL_210526_0335_20000000019352976867_000.jpg
3161156360;52331;T111;PSP_EXTRATLEITIMPL_210526_0335_20000000000852957847_000.jpg
3181051700;53322;T111;PSP_EXTRATLEITIMPL_210526_0335_20000000009002976597_000.jpg
3201430630;2818;T111;PSP_EXTRATLEITIMPL_210526_0335_20000000016502956833_000.jpg
3212694354;17820;T181;PSP_EXTRATLEITIMPL_210526_0335_20000000009802970385_000.jpg
3223343286;13611;T181;PSP_EXTRATLEITIMPL_210526_0335_20000000001202985058_000.jpg
3200454676;3764;T181;PSP_EXTRATLEITIMPL_210526_0335_20000000001202980351_000.jpg
3201814552;2431;T111;PSP_EXTRATLEITIMPL_210526_0335_20000000015302992359_000.jpg
3220318043;15302;T181;PSP_EXTRATLEITIMPL_210526_0335_20000000016302976339_000.jpg
3222342200;20784;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000017852992386_000.jpg
3223410811;20839;T181;PSP_EXTRATLEITIMPL_210526_0335_20000000014002968345_000.jpg
3011043715;32190;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000015152964969_000.jpg
3223434702;768654;NA;NA
70467623;12467;L101;PSP_EXTRATLEITIMPL_210526_0335_20000000003052981659_000.jpg
90100300;167;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000004652984673_000.jpg
3223587274;5253;L101;PSP_EXTRATLEITIMPL_210526_0335_20000000011952965753_000.jpg
3181004001;4394;L101;PSP_EXTRATLEITIMPL_210526_0335_20000000011452961786_000.jpg
3244254534/3204735866;4328;T181;PSP_EXTRATLEITIMPL_210526_0335_20000000008702977728_000.jpg
3221651455;1184;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000017852977953_000.jpg
5257621318;262;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000019852965889_000.jpg
6250632116/3171795175;23784;NA;NA
6250638300/3230054036;11275;NA;NA
3223328040;40495;T181;PSP_EXTRATLEITIMPL_210526_0335_20000000003352956886_000.jpg
3200737961;1185;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000010452944987_000.jpg
3242253433;234;P111;PSP_EXTRATLEITIMPL_210526_0335_20000000012602964900_000.jpg
3193965724;103569;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000001502961967_000.jpg
3193478122;110752;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000002402982025_000.jpg
3193420108;327297;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000011652983010_000.jpg
3154883524;105996;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000007802961902_000.jpg
3231933092;4134;L101;PSP_EXTRATLEITIMPL_210526_0335_20000000007702982517_000.jpg
NQ21278;43844;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000012552968641_000.jpg
5257206663/3212561168;1302;T181;PSP_EXTRATLEITIMPL_210526_0335_20000000009302972554_000.jpg
3121009330;11723;L101;PSP_EXTRATLEITIMPL_210526_0335_20000000002402968721_000.jpg
3204736269;47293;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000016102947857_000.jpg
3182197920;69;P111;PSP_EXTRATLEITIMPL_210526_0335_20000000019002965844_000.jpg
3201786109;19648;L101;PSP_EXTRATLEITIMPL_210526_0335_20000000012652975381_000.jpg
3192795442;52691;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000003952973536_000.jpg
3182444137;2485;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000001352984554_000.jpg
50810577;2338;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000000952965417_000.jpg
3231113109;12904;T181;PSP_EXTRATLEITIMPL_210526_0335_20000000015802955615_000.jpg
3231112757;23724;T181;NA
3231070914;47942;T181;PSP_EXTRATLEITIMPL_210526_0335_20000000004702998666_000.jpg
3153743338;20366;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000003352967606_000.jpg
3212379459;51394;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000006102975775_000.jpg
5257507051/3193804739;188;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000008302978470_000.jpg
90047906;34148;L101;PSP_EXTRATLEITIMPL_210526_0335_20000000000802967522_000.jpg
3225788641;7426;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000013202980022_000.jpg
3210902332;13954;NA;NA
3141314822;6683;NA;NA
3203794702;13534;T181;NA
3181065280;544613;NA;NA
3152043561;48050;L101;PSP_EXTRATLEITIMPL_210526_0335_20000000015702963603_000.jpg
90854542;58107;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000014752953829_000.jpg
640054662;28610;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000011852968653_000.jpg
3223360482;18287;T181;PSP_EXTRATLEITIMPL_210526_0335_20000000015152963970_000.jpg
3200789333;19688;L101;PSP_EXTRATLEITIMPL_210526_0335_20000000002902988308_000.jpg
3202074757;8620;NA;NA
3193394433;238271;NA;NA
6250632078/5256229775/5255960530/6250638629/5255960530/5256229775/5255960530/3241622745;59238;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000019452975856_000.jpg
3201670844;36965;NA;NA
3232379102;17559;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000009202985166_000.jpg
3171782847;84998;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000006502987647_000.jpg
3192698811;159;P111;NA
3224839072;2694;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000007602971607_000.jpg
3210531873;4;P101;PSP_EXTRATLEITIMPL_210526_0335_20000000004752994555_000.jpg
3201494175;18105;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000008952957679_000.jpg
3222253267;6;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000005302993431_000.jpg
Q65603;36794;L101;PSP_EXTRATLEITIMPL_210526_0335_20000000011802981508_000.jpg
3133085334;14919;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000001202976580_000.jpg
3245358848/3222049848;2401;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000014252966485_000.jpg
3222481030;25973;T181;PSP_EXTRATLEITIMPL_210526_0335_20000000009202969880_000.jpg
3212574596;33060;T181;PSP_EXTRATLEITIMPL_210526_0335_20000000013152965830_000.jpg
30077377;5425;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000010052963923_000.jpg
3223432068;110091;T181;PSP_EXTRATLEITIMPL_210526_0335_20000000001302977836_000.jpg
3225570638;16562;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000013352976035_000.jpg
3212581240;34476;T181;PSP_EXTRATLEITIMPL_210526_0335_20000000006802984448_000.jpg
3181687800;333368;T181;PSP_EXTRATLEITIMPL_210526_0335_20000000013252959795_000.jpg
3223333159;26946;T181;PSP_EXTRATLEITIMPL_210526_0335_20000000000202959746_000.jpg
3203918355;84611;T181;PSP_EXTRATLEITIMPL_210526_0335_20000000000702958654_000.jpg
70004437;99052;T111;PSP_EXTRATLEITIMPL_210526_0335_20000000008702965861_000.jpg
3211289413;45614;T181;PSP_EXTRATLEITIMPL_210526_0335_20000000000302952924_000.jpg
3222364336;2540;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000013102963903_000.jpg
3191081845;21880;NA;NA
3180710352;10955;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000009802960783_000.jpg
3183337458;4639;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000014102940890_000.jpg
3212456550;65163;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000017802969959_000.jpg
5255953828/3245138929/5255953828/3161860130;139462;NA;NA
3245096193/3243811022/3190156167;6338;T181;PSP_EXTRATLEITIMPL_210526_0335_20000000000452966349_000.jpg
3183454799;23525;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000010252969137_000.jpg
3244316149;5943;T181;PSP_EXTRATLEITIMPL_210526_0335_20000000010452974151_000.jpg
3224117689;3743;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000000752975150_000.jpg
50336638;8148;NA;NA
82785620;99999;P111;PSP_EXTRATLEITIMPL_210526_0335_20000000005552980211_000.jpg
91097B;310;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000008552955956_000.jpg
91099B;17439;NA;PSP_EXTRATLEITIMPL_210526_0335_20000000002502966976_000.jpg
3201498200;44416;T111;PSP_EXTRATLEITIMPL_210526_0335_20000000006102970921_000.jpg
